h	delta	theta_std_day	theta_cold_day	theta_hot_day	theta_tropic_day	h
0	1	1	0.7708	1.0849	1.0594	0
1	0.9644	0.9931	0.7972	1.0774	1.052	1
2	0.9298	0.9863	0.8237	1.07	1.0446	2
3	0.8963	0.9794	0.8501	1.0626	1.0372	3
4	0.8637	0.9725	0.8575	1.0552	1.0298	4
5	0.8321	0.9656	0.8575	1.0478	1.0224	5
6	0.8014	0.9588	0.8575	1.0404	1.015	6
7	0.7717	0.9519	0.8575	1.033	1.0076	7
8	0.7429	0.945	0.8575	1.0256	1.0002	8
9	0.7149	0.9381	0.8575	1.0182	0.9928	9
10	0.6878	0.9313	0.8565	1.0108	0.9854	10
11	0.6616	0.9244	0.8502	1.0034	0.978	11
12	0.6362	0.9175	0.8438	0.996	0.9706	12
13	0.6115	0.9107	0.8375	0.9886	0.9632	13
14	0.5877	0.9038	0.8312	0.9812	0.9558	14
15	0.5646	0.8969	0.8248	0.9738	0.9484	15
16	0.5422	0.8901	0.8185	0.9664	0.941	16
17	0.5206	0.8832	0.8121	0.959	0.9336	17
18	0.4997	0.8763	0.8058	0.9516	0.9262	18
19	0.4795	0.8695	0.7994	0.9442	0.9188	19
20	0.4599	0.8626	0.7931	0.9368	0.9114	20
21	0.441	0.8558	0.7867	0.9294	0.904	21
22	0.4227	0.8489	0.7804	0.922	0.8965	22
23	0.4051	0.842	0.774	0.9145	0.8891	23
24	0.388	0.8352	0.7677	0.9071	0.8817	24
25	0.3716	0.8283	0.7613	0.8997	0.8743	25
26	0.3557	0.8215	0.755	0.8923	0.8669	26
27	0.3404	0.8146	0.7486	0.8849	0.8595	27
28	0.3256	0.8077	0.7423	0.8775	0.8521	28
29	0.3113	0.8009	0.736	0.8701	0.8447	29
30	0.2975	0.794	0.7296	0.8627	0.8373	30
31	0.2843	0.7872	0.7233	0.8553	0.8299	31
32	0.2715	0.7803	0.7222	0.8479	0.8225	32
33	0.2592	0.7735	0.7222	0.8405	0.8151	33
34	0.2474	0.7666	"0,7222"	0.8331	0.8077	34
35	0.236	0.7598	0.7222	0.8257	0.8003	35
36	0.225	0.7529	0.7222	0.8183	0.7929	36
37	0.2145	0.7519	0.7222	0.8109	0.7855	37
38	0.2044	0.7519	0.7222	0.8035	0.7781	38
39	0.1949	0.7519	0.7222	0.7961	0.7707	39
40	0.1858	0.7519	0.7222	0.7939	0.7633	40
42	0.1688	0.7519	0.7222	0.7956	0.7485	42
44	0.1534	0.7519	0.7095	0.7973	0.7337	44
46	0.1394	0.7519	0.6907	0.7989	0.7188	46
48	0.1267	0.7519	0.6719	"0,8006"	"0,7040"	48
50	0.1151	0.7519	0.6532	0.8023	0.6892	50
52	0.1046	0.7519	0.6452	0.804	0.6744	52
54	0.09507	0.7519	0.6452	0.8057	0.6768	54
56	0.0864	0.7519	0.6452	0.8074	0.6849	56
58	0.07852	0.7519	0.6452	0.8091	0.6929	58
60	0.07137	0.7519	0.6452	0.8108	0.7009	60
62	0.06486	0.7519	0.6514	0.8125	0.709	62
64	0.05895	0.7519	0.6609	0.8142	0.717	64
66	0.05358	0.7521	0.6704	0.8159	0.7251	66
68	0.04871	0.7542	0.6799	0.8166	0.7331	68
70	0.04429	0.7563	0.6894	0.8196	0.7396	70
72	0.04028	0.7584	0.699	0.8226	0.7448	72
74	0.03665	0.7605	0.7075	0.8255	0.7501	74
76	0.03336	0.7626	0.7058	0.8285	0.7553	76
78	0.03036	0.7647	0.7042	0.8315	0.7606	78
80	0.02765	0.7668	0.7026	0.8344	0.7658	80
82	0.02518	0.7689	0.7009	0.8374	0.7711	82
84	0.02294	0.771	0.6993	0.8403	0.7763	84
86	0.02091	0.7731	0.6976	0.8433	0.7816	86
88	0.01906	0.7752	0.696	0.8463	0.7868	88
90	0.01738	0.7772	0.6944	0.8492	0.7921	90
92	0.01585	0.7793	0.6927	0.8522	0.7973	92
94	0.01446	0.7814	0.6911	0.8552	0.8026	94
96	0.0132	0.7835	0.6894	0.8581	0.8078	96
98	0.01204	0.7856	0.6878	0.8611	0.813	98
100	0.011	0.7877	0.6862	0.864	0.8183	100
